station_id,month,electricity_cost_per_kwh,total_energy_supplied_kwh,total_energy_cost
4,2025-06-01,2.10,12165.00,25546.50
4,2025-07-01,2.10,14724.00,30920.40
4,2025-08-01,2.10,15329.00,32190.90
4,2025-09-01,1.95,17409.00,33947.55
4,2025-10-01,1.95,19589.00,38198.55
4,2025-11-01,1.95,11249.00,21935.55
4,2025-12-01,2.25,18859.00,42432.75
5,2024-01-01,1.95,13368.00,26067.60
5,2024-02-01,2.10,8498.00,17845.80
5,2024-03-01,2.40,13392.00,32140.80
5,2024-04-01,2.10,17691.00,37151.10
5,2024-05-01,2.25,11173.00,25139.25
5,2024-06-01,2.40,18370.00,44088.00
5,2024-07-01,2.25,18978.00,42700.50
5,2024-08-01,2.40,9884.00,23721.60
5,2024-09-01,2.40,19231.00,46154.40
5,2024-10-01,2.25,11060.00,24885.00
5,2024-11-01,2.40,10205.00,24492.00
5,2024-12-01,1.95,19734.00,38481.30
5,2025-01-01,2.25,15167.00,34125.75
5,2025-02-01,1.95,17636.00,34390.20
5,2025-03-01,2.10,12914.00,27119.40
5,2025-04-01,1.95,8982.00,17514.90
5,2025-05-01,2.40,16596.00,39830.40
5,2025-06-01,2.40,8080.00,19392.00
5,2025-07-01,2.10,17239.00,36201.90
5,2025-08-01,1.95,19933.00,38869.35
5,2025-09-01,2.40,16331.00,39194.40
5,2025-10-01,2.25,11517.00,25913.25
5,2025-11-01,2.10,10721.00,22514.10
5,2025-12-01,2.10,8699.00,18267.90
6,2024-01-01,1.95,10924.00,21301.80
6,2024-02-01,1.95,11590.00,22600.50
6,2024-03-01,2.25,8754.00,19696.50
6,2024-04-01,1.95,19198.00,37436.10
6,2024-05-01,2.25,8259.00,18582.75
6,2024-06-01,2.40,13835.00,33204.00
6,2024-07-01,1.95,12233.00,23854.35
6,2024-08-01,2.25,11480.00,25830.00
6,2024-09-01,1.95,16682.00,32529.90
6,2024-10-01,2.25,15462.00,34789.50
6,2024-11-01,2.10,12041.00,25286.10
6,2024-12-01,2.40,13325.00,31980.00
6,2025-01-01,1.95,14961.00,29173.95
6,2025-02-01,2.25,16695.00,37563.75
6,2025-03-01,2.40,18230.00,43752.00
6,2025-04-01,2.40,17889.00,42933.60
6,2025-05-01,2.25,13414.00,30181.50
6,2025-06-01,2.40,11646.00,27950.40
6,2025-07-01,1.95,12335.00,24053.25
6,2025-08-01,2.25,15890.00,35752.50
6,2025-09-01,2.25,19815.00,44583.75
6,2025-10-01,2.25,11430.00,25717.50
6,2025-11-01,2.10,11900.00,24990.00
6,2025-12-01,2.25,12397.00,27893.25
7,2024-01-01,2.10,9113.00,19137.30
7,2024-02-01,2.25,17844.00,40149.00
7,2024-03-01,2.25,13625.00,30656.25
7,2024-04-01,2.25,17198.00,38695.50
7,2024-05-01,2.10,8156.00,17127.60
7,2024-06-01,2.25,17321.00,38972.25
7,2024-07-01,1.95,19036.00,37120.20
7,2024-08-01,2.10,9274.00,19475.40
7,2024-09-01,1.95,17549.00,34220.55
7,2024-10-01,1.95,15277.00,29790.15
7,2024-11-01,1.95,13508.00,26340.60
7,2024-12-01,2.25,12968.00,29178.00
7,2025-01-01,2.40,9259.00,22221.60
7,2025-02-01,2.10,12769.00,26814.90
7,2025-03-01,2.40,9151.00,21962.40
7,2025-04-01,1.95,14618.00,28505.10
7,2025-05-01,2.40,14419.00,34605.60
7,2025-06-01,2.40,10196.00,24470.40
7,2025-07-01,2.40,12479.00,29949.60
7,2025-08-01,2.40,14030.00,33672.00
7,2025-09-01,2.25,9422.00,21199.50
7,2025-10-01,1.95,15568.00,30357.60
7,2025-11-01,2.10,16161.00,33938.10
7,2025-12-01,2.25,18530.00,41692.50
8,2024-01-01,1.95,12669.00,24704.55
8,2024-02-01,2.40,14621.00,35090.40
8,2024-03-01,2.10,8028.00,16858.80
8,2024-04-01,1.95,13512.00,26348.40
8,2024-05-01,2.10,11906.00,25002.60
8,2024-06-01,2.10,11913.00,25017.30
8,2024-07-01,1.95,11254.00,21945.30
8,2024-08-01,2.10,19618.00,41197.80
8,2024-09-01,1.95,18382.00,35844.90
8,2024-10-01,2.10,16566.00,34788.60
8,2024-11-01,1.95,18208.00,35505.60
8,2024-12-01,2.10,13710.00,28791.00
8,2025-01-01,2.25,12689.00,28550.25
8,2025-02-01,2.10,11754.00,24683.40
8,2025-03-01,2.40,14581.00,34994.40
8,2025-04-01,2.10,12590.00,26439.00
8,2025-05-01,2.40,12940.00,31056.00
8,2025-06-01,2.25,9864.00,22194.00
8,2025-07-01,1.95,17376.00,33883.20
8,2025-08-01,2.25,14389.00,32375.25
8,2025-09-01,1.95,16499.00,32173.05
8,2025-10-01,2.40,16932.00,40636.80
8,2025-11-01,2.40,15839.00,38013.60
8,2025-12-01,1.95,15172.00,29585.40
9,2024-01-01,2.25,9596.00,21591.00
9,2024-02-01,2.40,15176.00,36422.40
9,2024-03-01,2.25,16859.00,37932.75
9,2024-04-01,1.95,15461.00,30148.95
9,2024-05-01,2.25,9270.00,20857.50
9,2024-06-01,2.40,14719.00,35325.60
9,2024-07-01,2.10,8306.00,17442.60
9,2024-08-01,2.10,16655.00,34975.50
9,2024-09-01,2.40,10609.00,25461.60
9,2024-10-01,2.25,14290.00,32152.50
9,2024-11-01,1.95,18966.00,36983.70
9,2024-12-01,2.25,13872.00,31212.00
9,2025-01-01,2.40,16332.00,39196.80
9,2025-02-01,1.95,13119.00,25582.05
9,2025-03-01,1.95,10890.00,21235.50
9,2025-04-01,2.25,13843.00,31146.75
9,2025-05-01,2.25,9556.00,21501.00
9,2025-06-01,1.95,16409.00,31997.55
9,2025-07-01,1.95,19884.00,38773.80
9,2025-08-01,2.10,13239.00,27801.90
9,2025-09-01,2.10,12599.00,26457.90
9,2025-10-01,2.25,9585.00,21566.25
9,2025-11-01,1.95,13346.00,26024.70
9,2025-12-01,2.25,14055.00,31623.75
10,2024-01-01,2.40,17988.00,43171.20
10,2024-02-01,1.95,11706.00,22826.70
10,2024-03-01,1.95,19994.00,38988.30
10,2024-04-01,2.25,9740.00,21915.00
10,2024-05-01,2.25,15594.00,35086.50
10,2024-06-01,2.40,9430.00,22632.00
10,2024-07-01,2.25,8395.00,18888.75
10,2024-08-01,2.10,18251.00,38327.10
10,2024-09-01,2.25,16505.00,37136.25
10,2024-10-01,2.10,18663.00,39192.30
10,2024-11-01,2.40,13610.00,32664.00
10,2024-12-01,2.40,12681.00,30434.40
10,2025-01-01,2.40,9538.00,22891.20
10,2025-02-01,1.95,9543.00,18608.85
10,2025-03-01,2.25,11537.00,25958.25
10,2025-04-01,2.10,17226.00,36174.60
10,2025-05-01,2.10,16993.00,35685.30
10,2025-06-01,2.40,18785.00,45084.00
10,2025-07-01,1.95,13576.00,26473.20
10,2025-08-01,2.40,17369.00,41685.60
10,2025-09-01,2.25,12508.00,28143.00
10,2025-10-01,2.25,16178.00,36400.50
10,2025-11-01,2.10,15712.00,32995.20
10,2025-12-01,2.40,19587.00,47008.80
11,2024-01-01,2.25,19359.00,43557.75
11,2024-02-01,2.40,17170.00,41208.00
11,2024-03-01,2.25,18654.00,41971.50
11,2024-04-01,2.40,9544.00,22905.60
11,2024-05-01,2.10,16979.00,35655.90
11,2024-06-01,2.10,10873.00,22833.30
11,2024-07-01,2.10,15726.00,33024.60
11,2024-08-01,1.95,11381.00,22192.95
11,2024-09-01,2.10,19041.00,39986.10
11,2024-10-01,2.40,13878.00,33307.20
11,2024-11-01,2.10,10924.00,22940.40
11,2024-12-01,2.25,13334.00,30001.50
11,2025-01-01,1.95,9943.00,19388.85
11,2025-02-01,1.95,12936.00,25225.20
11,2025-03-01,2.25,8011.00,18024.75
11,2025-04-01,2.10,19283.00,40494.30
11,2025-05-01,1.95,12171.00,23733.45
11,2025-06-01,2.25,11515.00,25908.75
11,2025-07-01,2.25,10786.00,24268.50
11,2025-08-01,2.40,11756.00,28214.40
11,2025-09-01,2.25,14112.00,31752.00
11,2025-10-01,1.95,18727.00,36517.65
11,2025-11-01,2.10,15738.00,33049.80
11,2025-12-01,2.25,19925.00,44831.25
12,2024-01-01,2.40,19367.00,46480.80
12,2024-02-01,2.40,15527.00,37264.80
12,2024-03-01,2.40,11951.00,28682.40
12,2024-04-01,2.40,15010.00,36024.00
12,2024-05-01,2.25,11415.00,25683.75
12,2024-06-01,2.10,18312.00,38455.20
12,2024-07-01,2.10,9929.00,20850.90
12,2024-08-01,2.10,18894.00,39677.40
12,2024-09-01,2.25,18489.00,41600.25
12,2024-10-01,1.95,16057.00,31311.15
12,2024-11-01,1.95,15690.00,30595.50
12,2024-12-01,2.10,19219.00,40359.90
12,2025-01-01,2.10,9505.00,19960.50
12,2025-02-01,2.25,16239.00,36537.75
12,2025-03-01,2.10,19337.00,40607.70
12,2025-04-01,1.95,19672.00,38360.40
12,2025-05-01,1.95,15136.00,29515.20
12,2025-06-01,2.40,16628.00,39907.20
12,2025-07-01,2.40,16874.00,40497.60
12,2025-08-01,2.40,9183.00,22039.20
12,2025-09-01,2.40,18665.00,44796.00
12,2025-10-01,2.40,11433.00,27439.20
12,2025-11-01,2.10,15852.00,33289.20
12,2025-12-01,2.10,10636.00,22335.60
13,2024-01-01,2.40,8222.00,19732.80
13,2024-02-01,1.95,11522.00,22467.90
13,2024-03-01,2.40,10531.00,25274.40
13,2024-04-01,2.40,8702.00,20884.80
13,2024-05-01,2.40,10673.00,25615.20
13,2024-06-01,1.95,8872.00,17300.40
13,2024-07-01,2.25,13449.00,30260.25
13,2024-08-01,2.40,13188.00,31651.20
13,2024-09-01,2.10,10110.00,21231.00
13,2024-10-01,2.10,19348.00,40630.80
13,2024-11-01,1.95,10904.00,21262.80
13,2024-12-01,2.25,11328.00,25488.00
13,2025-01-01,2.25,13964.00,31419.00
13,2025-02-01,2.40,13788.00,33091.20
13,2025-03-01,2.40,9335.00,22404.00
13,2025-04-01,2.25,13302.00,29929.50
13,2025-05-01,2.40,11570.00,27768.00
13,2025-06-01,2.25,15309.00,34445.25
13,2025-07-01,2.25,8868.00,19953.00
13,2025-08-01,2.25,11874.00,26716.50
13,2025-09-01,2.25,16471.00,37059.75
13,2025-10-01,2.40,12417.00,29800.80
13,2025-11-01,2.40,9911.00,23786.40
13,2025-12-01,1.95,15627.00,30472.65
14,2024-01-01,1.95,18258.00,35603.10
14,2024-02-01,2.10,14250.00,29925.00
14,2024-03-01,2.25,9976.00,22446.00
14,2024-04-01,2.10,9349.00,19632.90
14,2024-05-01,2.25,18233.00,41024.25
14,2024-06-01,2.40,9621.00,23090.40
14,2024-07-01,1.95,18461.00,35998.95
14,2024-08-01,2.40,10882.00,26116.80
14,2024-09-01,2.25,18528.00,41688.00
14,2024-10-01,2.40,10616.00,25478.40
14,2024-11-01,2.10,11840.00,24864.00
14,2024-12-01,2.40,13552.00,32524.80
14,2025-01-01,2.10,14105.00,29620.50
14,2025-02-01,2.40,9298.00,22315.20
14,2025-03-01,2.25,11321.00,25472.25
14,2025-04-01,1.95,19801.00,38611.95
14,2025-05-01,2.10,12177.00,25571.70
14,2025-06-01,1.95,9984.00,19468.80
14,2025-07-01,1.95,10337.00,20157.15
14,2025-08-01,1.95,16900.00,32955.00
14,2025-09-01,2.25,13951.00,31389.75
14,2025-10-01,2.10,14148.00,29710.80
14,2025-11-01,2.10,16526.00,34704.60
14,2025-12-01,2.25,14777.00,33248.25
15,2024-01-01,2.40,17648.00,42355.20
15,2024-02-01,2.40,9298.00,22315.20
15,2024-03-01,2.10,11477.00,24101.70
15,2024-04-01,2.10,14619.00,30699.90
15,2024-05-01,2.40,10304.00,24729.60
15,2024-06-01,2.25,12617.00,28388.25
15,2024-07-01,2.25,14468.00,32553.00
15,2024-08-01,2.25,13648.00,30708.00
15,2024-09-01,2.10,15937.00,33467.70
15,2024-10-01,1.95,19803.00,38615.85
15,2024-11-01,2.40,15693.00,37663.20
15,2024-12-01,2.10,19235.00,40393.50
15,2025-01-01,2.25,14841.00,33392.25
15,2025-02-01,2.10,15233.00,31989.30
15,2025-03-01,2.40,9502.00,22804.80
15,2025-04-01,2.10,16972.00,35641.20
15,2025-05-01,2.40,16990.00,40776.00
15,2025-06-01,2.25,16764.00,37719.00
15,2025-07-01,2.10,15551.00,32657.10
15,2025-08-01,2.25,9849.00,22160.25
15,2025-09-01,2.25,8625.00,19406.25
15,2025-10-01,2.10,8817.00,18515.70
15,2025-11-01,2.25,12497.00,28118.25
15,2025-12-01,2.10,17781.00,37340.10
16,2024-01-01,2.10,18952.00,39799.20
16,2024-02-01,2.10,12790.00,26859.00
16,2024-03-01,2.40,8696.00,20870.40
16,2024-04-01,1.95,17791.00,34692.45
16,2024-05-01,2.10,11822.00,24826.20
16,2024-06-01,2.25,8306.00,18688.50
16,2024-07-01,1.95,11253.00,21943.35
16,2024-08-01,2.25,14281.00,32132.25
16,2024-09-01,2.40,14090.00,33816.00
16,2024-10-01,1.95,9903.00,19310.85
16,2024-11-01,2.25,19931.00,44844.75
16,2024-12-01,2.25,16550.00,37237.50
16,2025-01-01,2.25,10308.00,23193.00
16,2025-02-01,1.95,15912.00,31028.40
16,2025-03-01,2.40,10512.00,25228.80
16,2025-04-01,2.40,19518.00,46843.20
16,2025-05-01,2.25,12035.00,27078.75
16,2025-06-01,2.25,15079.00,33927.75
16,2025-07-01,1.95,19823.00,38654.85
16,2025-08-01,2.40,13024.00,31257.60
16,2025-09-01,2.10,19658.00,41281.80
16,2025-10-01,2.40,9244.00,22185.60
16,2025-11-01,2.40,11707.00,28096.80
16,2025-12-01,2.10,16454.00,34553.40
17,2024-01-01,2.40,11445.00,27468.00
17,2024-02-01,1.95,18922.00,36897.90
17,2024-03-01,2.25,14363.00,32316.75
17,2024-04-01,2.25,19780.00,44505.00
17,2024-05-01,1.95,8596.00,16762.20
17,2024-06-01,1.95,19069.00,37184.55
17,2024-07-01,2.40,14866.00,35678.40
17,2024-08-01,1.95,19674.00,38364.30
17,2024-09-01,2.40,9815.00,23556.00
17,2024-10-01,1.95,12048.00,23493.60
17,2024-11-01,1.95,18854.00,36765.30
17,2024-12-01,2.10,13308.00,27946.80
17,2025-01-01,1.95,18298.00,35681.10
17,2025-02-01,2.10,15417.00,32375.70
17,2025-03-01,1.95,16542.00,32256.90
17,2025-04-01,2.10,15633.00,32829.30
17,2025-05-01,2.10,17925.00,37642.50
17,2025-06-01,2.10,9610.00,20181.00
17,2025-07-01,1.95,13101.00,25546.95
17,2025-08-01,2.40,17521.00,42050.40
17,2025-09-01,2.25,10915.00,24558.75
17,2025-10-01,1.95,11529.00,22481.55
17,2025-11-01,1.95,19248.00,37533.60
17,2025-12-01,1.95,9312.00,18158.40
18,2024-01-01,2.10,19960.00,41916.00
18,2024-02-01,2.40,9905.00,23772.00
18,2024-03-01,2.10,10553.00,22161.30
18,2024-04-01,2.10,16332.00,34297.20
18,2024-05-01,2.10,19497.00,40943.70
18,2024-06-01,2.10,8337.00,17507.70
18,2024-07-01,2.40,19150.00,45960.00
18,2024-08-01,2.10,19428.00,40798.80
18,2024-09-01,1.95,17112.00,33368.40
18,2024-10-01,1.95,19239.00,37516.05
18,2024-11-01,2.40,8709.00,20901.60
18,2024-12-01,2.10,19212.00,40345.20
18,2025-01-01,2.40,13866.00,33278.40
18,2025-02-01,2.40,12915.00,30996.00
18,2025-03-01,2.10,15003.00,31506.30
18,2025-04-01,2.25,13486.00,30343.50
18,2025-05-01,2.40,10214.00,24513.60
18,2025-06-01,2.10,8478.00,17803.80
18,2025-07-01,2.40,16280.00,39072.00
18,2025-08-01,2.25,17167.00,38625.75
18,2025-09-01,1.95,17750.00,34612.50
18,2025-10-01,2.10,17593.00,36945.30
18,2025-11-01,2.25,17037.00,38333.25
18,2025-12-01,1.95,10674.00,20814.30
19,2024-01-01,2.25,16598.00,37345.50
19,2024-02-01,2.25,12015.00,27033.75
19,2024-03-01,2.40,19331.00,46394.40
19,2024-04-01,2.25,15421.00,34697.25
19,2024-05-01,1.95,17989.00,35078.55
19,2024-06-01,2.10,19707.00,41384.70
19,2024-07-01,2.25,10544.00,23724.00
19,2024-08-01,1.95,16937.00,33027.15
19,2024-09-01,2.10,13809.00,28998.90
19,2024-10-01,2.25,18382.00,41359.50
19,2024-11-01,2.40,17898.00,42955.20
19,2024-12-01,2.10,8277.00,17381.70
19,2025-01-01,2.40,18225.00,43740.00
19,2025-02-01,2.40,12277.00,29464.80
19,2025-03-01,1.95,8644.00,16855.80
19,2025-04-01,1.95,9673.00,18862.35
19,2025-05-01,2.25,12893.00,29009.25
19,2025-06-01,2.40,9154.00,21969.60
19,2025-07-01,2.40,9230.00,22152.00
19,2025-08-01,1.95,11915.00,23234.25
19,2025-09-01,1.95,16955.00,33062.25
19,2025-10-01,1.95,15075.00,29396.25
19,2025-11-01,2.40,18229.00,43749.60
19,2025-12-01,2.10,11725.00,24622.50
20,2024-01-01,2.40,10088.00,24211.20
20,2024-02-01,1.95,19037.00,37122.15
20,2024-03-01,1.95,8273.00,16132.35
20,2024-04-01,1.95,8944.00,17440.80
20,2024-05-01,2.40,12629.00,30309.60
20,2024-06-01,2.10,10264.00,21554.40
20,2024-07-01,1.95,13359.00,26050.05
20,2024-08-01,2.10,17000.00,35700.00
20,2024-09-01,1.95,17191.00,33522.45
20,2024-10-01,1.95,17107.00,33358.65
20,2024-11-01,2.25,12121.00,27272.25
20,2024-12-01,2.40,14956.00,35894.40
20,2025-01-01,1.95,10532.00,20537.40
20,2025-02-01,1.95,14542.00,28356.90
20,2025-03-01,2.40,12081.00,28994.40
20,2025-04-01,1.95,12135.00,23663.25
20,2025-05-01,1.95,18325.00,35733.75
20,2025-06-01,2.25,10689.00,24050.25
20,2025-07-01,2.40,16580.00,39792.00
20,2025-08-01,2.25,15712.00,35352.00
20,2025-09-01,2.10,15697.00,32963.70
20,2025-10-01,1.95,12703.00,24770.85
20,2025-11-01,2.25,15491.00,34854.75
20,2025-12-01,2.25,13058.00,29380.50
21,2024-01-01,2.10,15950.00,33495.00
21,2024-02-01,2.10,16126.00,33864.60
21,2024-03-01,2.40,9954.00,23889.60
21,2024-04-01,2.25,9006.00,20263.50
21,2024-05-01,2.25,8454.00,19021.50
21,2024-06-01,2.40,15330.00,36792.00
21,2024-07-01,1.95,16621.00,32410.95
21,2024-08-01,1.95,17124.00,33391.80
21,2024-09-01,2.10,13897.00,29183.70
21,2024-10-01,1.95,18026.00,35150.70
21,2024-11-01,2.40,9307.00,22336.80
21,2024-12-01,1.95,8744.00,17050.80
21,2025-01-01,2.10,17652.00,37069.20
21,2025-02-01,2.40,14062.00,33748.80
21,2025-03-01,2.40,9598.00,23035.20
21,2025-04-01,2.25,11250.00,25312.50
21,2025-05-01,2.10,12293.00,25815.30
21,2025-06-01,2.10,12698.00,26665.80
21,2025-07-01,1.95,15796.00,30802.20
21,2025-08-01,2.25,15679.00,35277.75
21,2025-09-01,2.40,19824.00,47577.60
21,2025-10-01,2.10,10529.00,22110.90
21,2025-11-01,1.95,11730.00,22873.50
21,2025-12-01,2.40,13566.00,32558.40
22,2024-01-01,2.25,8131.00,18294.75
22,2024-02-01,2.25,15013.00,33779.25
22,2024-03-01,2.25,9097.00,20468.25
22,2024-04-01,2.25,15685.00,35291.25
22,2024-05-01,2.40,18831.00,45194.40
22,2024-06-01,2.40,14287.00,34288.80
22,2024-07-01,1.95,14592.00,28454.40
22,2024-08-01,2.10,12579.00,26415.90
22,2024-09-01,2.40,18197.00,43672.80
22,2024-10-01,1.95,12294.00,23973.30
22,2024-11-01,1.95,16879.00,32914.05
22,2024-12-01,1.95,17279.00,33694.05
22,2025-01-01,2.10,8438.00,17719.80
22,2025-02-01,2.40,9346.00,22430.40
22,2025-03-01,2.40,17591.00,42218.40
22,2025-04-01,2.10,9907.00,20804.70
22,2025-05-01,1.95,14059.00,27415.05
22,2025-06-01,2.25,19519.00,43917.75
22,2025-07-01,2.25,13279.00,29877.75
22,2025-08-01,2.40,10440.00,25056.00
22,2025-09-01,2.10,17882.00,37552.20
22,2025-10-01,1.95,14087.00,27469.65
22,2025-11-01,2.25,17310.00,38947.50
22,2025-12-01,2.10,13019.00,27339.90
23,2024-01-01,2.10,15987.00,33572.70
23,2024-02-01,1.95,11081.00,21607.95
23,2024-03-01,2.40,10935.00,26244.00
23,2024-04-01,1.95,15676.00,30568.20
23,2024-05-01,1.95,16161.00,31513.95
23,2024-06-01,2.25,11672.00,26262.00
23,2024-07-01,2.25,17091.00,38454.75
23,2024-08-01,1.95,12188.00,23766.60
23,2024-09-01,2.10,8263.00,17352.30
23,2024-10-01,2.40,15436.00,37046.40
23,2024-11-01,2.40,15893.00,38143.20
23,2024-12-01,2.25,9854.00,22171.50
23,2025-01-01,2.25,14820.00,33345.00
23,2025-02-01,1.95,17829.00,34766.55
23,2025-03-01,2.40,11882.00,28516.80
23,2025-04-01,2.25,9494.00,21361.50
23,2025-05-01,2.10,11391.00,23921.10
23,2025-06-01,2.25,19036.00,42831.00
23,2025-07-01,2.10,12757.00,26789.70
23,2025-08-01,1.95,17303.00,33740.85
23,2025-09-01,2.40,8790.00,21096.00
23,2025-10-01,2.25,13894.00,31261.50
23,2025-11-01,2.10,8770.00,18417.00
23,2025-12-01,2.10,16208.00,34036.80
24,2024-01-01,2.40,15569.00,37365.60
24,2024-02-01,1.95,15759.00,30730.05
24,2024-03-01,2.40,10662.00,25588.80
24,2024-04-01,2.40,8465.00,20316.00
24,2024-05-01,1.95,11330.00,22093.50
24,2024-06-01,1.95,19587.00,38194.65
24,2024-07-01,2.40,17939.00,43053.60
24,2024-08-01,2.10,13208.00,27736.80
24,2024-09-01,2.40,12045.00,28908.00
24,2024-10-01,2.25,11220.00,25245.00
24,2024-11-01,1.95,15711.00,30636.45
24,2024-12-01,2.40,13706.00,32894.40
24,2025-01-01,2.10,8906.00,18702.60
24,2025-02-01,2.40,8887.00,21328.80
24,2025-03-01,2.40,16497.00,39592.80
24,2025-04-01,1.95,14522.00,28317.90
24,2025-05-01,2.40,9038.00,21691.20
24,2025-06-01,2.25,9428.00,21213.00
24,2025-07-01,2.25,9538.00,21460.50
24,2025-08-01,1.95,17218.00,33575.10
24,2025-09-01,2.40,8593.00,20623.20
24,2025-10-01,1.95,8028.00,15654.60
24,2025-11-01,2.10,11254.00,23633.40
24,2025-12-01,2.40,14006.00,33614.40
25,2024-01-01,1.95,17502.00,34128.90
25,2024-02-01,2.40,14404.00,34569.60
25,2024-03-01,2.10,9299.00,19527.90
25,2024-04-01,2.10,12277.00,25781.70
25,2024-05-01,2.40,19095.00,45828.00
25,2024-06-01,2.25,11146.00,25078.50
25,2024-07-01,2.10,8176.00,17169.60
25,2024-08-01,2.40,15448.00,37075.20
25,2024-09-01,1.95,15988.00,31176.60
25,2024-10-01,2.25,9255.00,20823.75
25,2024-11-01,2.40,13203.00,31687.20
25,2024-12-01,2.25,15582.00,35059.50
25,2025-01-01,2.40,10000.00,24000.00
25,2025-02-01,2.40,8149.00,19557.60
25,2025-03-01,2.10,11597.00,24353.70
25,2025-04-01,2.40,14395.00,34548.00
25,2025-05-01,1.95,17049.00,33245.55
25,2025-06-01,2.10,17009.00,35718.90
25,2025-07-01,2.10,9600.00,20160.00
25,2025-08-01,2.25,17951.00,40389.75
25,2025-09-01,2.25,12121.00,27272.25
25,2025-10-01,2.25,17633.00,39674.25
25,2025-11-01,2.25,9828.00,22113.00
25,2025-12-01,1.95,18894.00,36843.30
26,2024-01-01,2.10,9360.00,19656.00
26,2024-02-01,2.40,12853.00,30847.20
26,2024-03-01,2.25,19986.00,44968.50
26,2024-04-01,1.95,13183.00,25706.85
26,2024-05-01,1.95,9414.00,18357.30
