log_id,station_id,downtime_start,downtime_end,issue_type,repair_cost
92,83,"2025-11-19 00:00:00","2025-11-19 07:00:00","Hardware Failure",25132.00
93,71,"2025-12-03 00:00:00","2025-12-03 01:00:00","Software Error",13389.00
94,69,"2024-11-03 00:00:00","2024-11-03 02:00:00","Software Error",24130.00
95,87,"2024-04-05 00:00:00","2024-04-05 01:00:00","Hardware Failure",6949.00
96,49,"2024-04-13 00:00:00","2024-04-13 06:00:00","Software Error",26722.00
97,61,"2025-01-31 00:00:00","2025-01-31 01:00:00","Software Error",16115.00
98,94,"2025-12-16 00:00:00","2025-12-16 03:00:00","Hardware Failure",8009.00
99,62,"2025-06-12 00:00:00","2025-06-12 03:00:00","Hardware Failure",25078.00
100,81,"2024-08-01 00:00:00","2024-08-01 03:00:00","Power Issue",17121.00
101,45,"2024-06-12 00:00:00","2024-06-12 07:00:00","Hardware Failure",17863.00
102,97,"2024-03-09 00:00:00","2024-03-09 04:00:00","Software Error",21045.00
103,21,"2025-09-22 00:00:00","2025-09-22 03:00:00","Software Error",12185.00
104,107,"2024-03-03 00:00:00","2024-03-03 03:00:00","Power Issue",26543.00
105,107,"2024-11-01 00:00:00","2024-11-01 05:00:00","Power Issue",22095.00
106,115,"2025-06-01 00:00:00","2025-06-01 03:00:00","Power Issue",5227.00
107,79,"2025-09-10 00:00:00","2025-09-10 02:00:00","Hardware Failure",23741.00
108,119,"2025-09-07 00:00:00","2025-09-07 07:00:00","Hardware Failure",16175.00
109,90,"2024-06-21 00:00:00","2024-06-21 06:00:00","Hardware Failure",22918.00
110,14,"2025-11-28 00:00:00","2025-11-28 03:00:00","Power Issue",24848.00
111,21,"2025-04-02 00:00:00","2025-04-02 03:00:00","Software Error",26802.00
112,1,"2025-12-18 00:00:00","2025-12-18 08:00:00","Hardware Failure",10401.00
113,50,"2025-04-30 00:00:00","2025-04-30 02:00:00","Software Error",12304.00
114,70,"2024-11-20 00:00:00","2024-11-20 02:00:00","Power Issue",19797.00
115,18,"2024-06-25 00:00:00","2024-06-25 01:00:00","Hardware Failure",5946.00
116,112,"2025-04-05 00:00:00","2025-04-05 07:00:00","Power Issue",14270.00
117,84,"2025-12-18 00:00:00","2025-12-18 03:00:00","Power Issue",5584.00
118,71,"2024-02-07 00:00:00","2024-02-07 06:00:00","Power Issue",15822.00
119,44,"2025-07-26 00:00:00","2025-07-26 01:00:00","Software Error",8877.00
120,71,"2024-07-29 00:00:00","2024-07-29 06:00:00","Power Issue",26904.00
121,49,"2024-06-07 00:00:00","2024-06-07 06:00:00","Hardware Failure",19280.00
122,103,"2025-08-14 00:00:00","2025-08-14 06:00:00","Software Error",10030.00
123,95,"2025-01-08 00:00:00","2025-01-08 01:00:00","Software Error",26759.00
124,109,"2025-02-22 00:00:00","2025-02-22 04:00:00","Power Issue",5926.00
125,86,"2025-12-07 00:00:00","2025-12-07 04:00:00","Hardware Failure",9149.00
126,47,"2025-04-25 00:00:00","2025-04-25 01:00:00","Power Issue",7625.00
127,98,"2024-02-09 00:00:00","2024-02-09 04:00:00","Software Error",18055.00
128,115,"2024-03-25 00:00:00","2024-03-25 05:00:00","Software Error",22724.00
129,33,"2024-12-24 00:00:00","2024-12-24 05:00:00","Power Issue",18411.00
130,90,"2024-12-15 00:00:00","2024-12-15 07:00:00","Hardware Failure",10956.00
131,12,"2025-04-17 00:00:00","2025-04-17 04:00:00","Hardware Failure",26295.00
132,76,"2024-03-18 00:00:00","2024-03-18 01:00:00","Software Error",15686.00
133,8,"2025-12-09 00:00:00","2025-12-09 01:00:00","Power Issue",10871.00
134,38,"2025-05-03 00:00:00","2025-05-03 03:00:00","Power Issue",15410.00
135,39,"2024-07-22 00:00:00","2024-07-22 08:00:00","Power Issue",27763.00
136,24,"2025-10-12 00:00:00","2025-10-12 06:00:00","Hardware Failure",28313.00
137,39,"2025-06-26 00:00:00","2025-06-26 08:00:00","Software Error",11661.00
138,27,"2025-03-16 00:00:00","2025-03-16 07:00:00","Hardware Failure",24999.00
139,26,"2025-05-27 00:00:00","2025-05-27 01:00:00","Power Issue",20327.00
140,2,"2025-09-29 00:00:00","2025-09-29 04:00:00","Software Error",17834.00
141,84,"2024-05-11 00:00:00","2024-05-11 04:00:00","Power Issue",29677.00
142,15,"2024-10-07 00:00:00","2024-10-07 07:00:00","Software Error",29268.00
143,11,"2025-12-06 00:00:00","2025-12-06 04:00:00","Software Error",23593.00
144,46,"2024-01-31 00:00:00","2024-01-31 05:00:00","Software Error",10821.00
145,55,"2024-08-08 00:00:00","2024-08-08 07:00:00","Power Issue",5935.00
146,40,"2025-06-16 00:00:00","2025-06-16 05:00:00","Software Error",13213.00
147,48,"2024-12-22 00:00:00","2024-12-22 05:00:00","Software Error",25202.00
148,117,"2025-01-25 00:00:00","2025-01-25 04:00:00","Software Error",21118.00
149,71,"2024-11-17 00:00:00","2024-11-17 03:00:00","Software Error",19724.00
150,106,"2025-06-30 00:00:00","2025-06-30 06:00:00","Software Error",14158.00
151,36,"2025-10-26 00:00:00","2025-10-26 03:00:00","Hardware Failure",15368.00
152,79,"2025-10-16 00:00:00","2025-10-16 03:00:00","Power Issue",27569.00
153,80,"2024-01-27 00:00:00","2024-01-27 02:00:00","Software Error",15208.00
154,19,"2025-12-01 00:00:00","2025-12-01 07:00:00","Power Issue",8660.00
155,21,"2024-01-16 00:00:00","2024-01-16 02:00:00","Hardware Failure",22354.00
156,55,"2025-05-01 00:00:00","2025-05-01 02:00:00","Hardware Failure",11284.00
157,100,"2024-09-02 00:00:00","2024-09-02 03:00:00","Software Error",29288.00
158,21,"2024-11-11 00:00:00","2024-11-11 02:00:00","Power Issue",15305.00
159,47,"2024-02-20 00:00:00","2024-02-20 04:00:00","Software Error",23594.00
160,103,"2024-10-01 00:00:00","2024-10-01 05:00:00","Power Issue",25013.00
161,76,"2025-12-22 00:00:00","2025-12-22 02:00:00","Power Issue",13287.00
162,17,"2024-01-19 00:00:00","2024-01-19 07:00:00","Power Issue",7275.00
163,2,"2024-09-08 00:00:00","2024-09-08 08:00:00","Software Error",5599.00
164,67,"2025-09-02 00:00:00","2025-09-02 02:00:00","Hardware Failure",24727.00
165,119,"2025-08-07 00:00:00","2025-08-07 07:00:00","Power Issue",18650.00
166,32,"2024-06-04 00:00:00","2024-06-04 08:00:00","Hardware Failure",12408.00
167,60,"2025-12-05 00:00:00","2025-12-05 07:00:00","Software Error",27380.00
168,55,"2024-03-12 00:00:00","2024-03-12 05:00:00","Software Error",6608.00
169,7,"2025-05-02 00:00:00","2025-05-02 05:00:00","Hardware Failure",21208.00
170,36,"2024-01-02 00:00:00","2024-01-02 06:00:00","Hardware Failure",26221.00
171,80,"2025-06-15 00:00:00","2025-06-15 06:00:00","Hardware Failure",21565.00
172,23,"2025-08-22 00:00:00","2025-08-22 07:00:00","Software Error",15800.00
173,36,"2024-08-29 00:00:00","2024-08-29 07:00:00","Hardware Failure",27937.00
174,89,"2024-07-27 00:00:00","2024-07-27 07:00:00","Software Error",15555.00
175,39,"2024-01-25 00:00:00","2024-01-25 08:00:00","Software Error",22834.00
176,53,"2024-08-30 00:00:00","2024-08-30 05:00:00","Hardware Failure",12840.00
177,119,"2025-08-23 00:00:00","2025-08-23 01:00:00","Power Issue",26547.00
178,14,"2024-06-22 00:00:00","2024-06-22 05:00:00","Power Issue",20760.00
179,55,"2025-12-27 00:00:00","2025-12-27 08:00:00","Power Issue",9824.00
180,11,"2024-04-04 00:00:00","2024-04-04 07:00:00","Power Issue",28654.00
181,91,"2024-09-11 00:00:00","2024-09-11 01:00:00","Hardware Failure",14233.00
182,18,"2024-11-05 00:00:00","2024-11-05 08:00:00","Software Error",27190.00
183,84,"2025-03-28 00:00:00","2025-03-28 05:00:00","Software Error",24495.00
184,45,"2025-03-22 00:00:00","2025-03-22 02:00:00","Software Error",13578.00
185,108,"2024-06-25 00:00:00","2024-06-25 04:00:00","Hardware Failure",22163.00
186,90,"2025-07-02 00:00:00","2025-07-02 01:00:00","Hardware Failure",10630.00
187,43,"2024-02-06 00:00:00","2024-02-06 03:00:00","Hardware Failure",6183.00
188,38,"2024-06-09 00:00:00","2024-06-09 03:00:00","Hardware Failure",5060.00
189,67,"2025-06-16 00:00:00","2025-06-16 01:00:00","Power Issue",12387.00
190,88,"2025-01-13 00:00:00","2025-01-13 03:00:00","Software Error",12132.00
191,80,"2024-09-11 00:00:00","2024-09-11 02:00:00","Power Issue",16115.00
192,60,"2025-12-11 00:00:00","2025-12-11 07:00:00","Software Error",11219.00
193,119,"2024-02-26 00:00:00","2024-02-26 05:00:00","Power Issue",12683.00
194,20,"2025-05-12 00:00:00","2025-05-12 06:00:00","Software Error",27708.00
195,53,"2025-07-10 00:00:00","2025-07-10 02:00:00","Power Issue",28275.00
196,92,"2025-01-25 00:00:00","2025-01-25 02:00:00","Power Issue",19752.00
197,112,"2024-11-14 00:00:00","2024-11-14 01:00:00","Hardware Failure",21705.00
198,23,"2025-01-18 00:00:00","2025-01-18 03:00:00","Hardware Failure",18655.00
199,71,"2025-06-12 00:00:00","2025-06-12 04:00:00","Power Issue",15857.00
200,40,"2025-02-09 00:00:00","2025-02-09 04:00:00","Hardware Failure",12042.00
201,63,"2024-11-12 00:00:00","2024-11-12 01:00:00","Software Error",21909.00
202,9,"2025-10-15 00:00:00","2025-10-15 04:00:00","Software Error",29344.00
203,59,"2025-04-30 00:00:00","2025-04-30 08:00:00","Software Error",16617.00
204,79,"2024-07-02 00:00:00","2024-07-02 04:00:00","Hardware Failure",14134.00
205,113,"2025-03-20 00:00:00","2025-03-20 02:00:00","Hardware Failure",23949.00
206,114,"2025-07-22 00:00:00","2025-07-22 05:00:00","Power Issue",23408.00
207,6,"2025-06-18 00:00:00","2025-06-18 06:00:00","Software Error",25916.00
208,97,"2024-12-17 00:00:00","2024-12-17 02:00:00","Hardware Failure",5983.00
209,31,"2025-07-11 00:00:00","2025-07-11 05:00:00","Power Issue",24788.00
210,92,"2025-07-16 00:00:00","2025-07-16 04:00:00","Software Error",29398.00
211,87,"2024-10-02 00:00:00","2024-10-02 06:00:00","Software Error",18004.00
212,41,"2025-11-05 00:00:00","2025-11-05 06:00:00","Hardware Failure",28379.00
213,40,"2024-08-02 00:00:00","2024-08-02 03:00:00","Hardware Failure",7211.00
214,33,"2025-01-26 00:00:00","2025-01-26 08:00:00","Hardware Failure",28402.00
215,86,"2024-07-24 00:00:00","2024-07-24 05:00:00","Power Issue",22492.00
216,16,"2025-03-13 00:00:00","2025-03-13 01:00:00","Hardware Failure",25284.00
217,83,"2024-05-20 00:00:00","2024-05-20 05:00:00","Software Error",21936.00
218,50,"2024-06-15 00:00:00","2024-06-15 07:00:00","Software Error",19293.00
219,58,"2025-02-18 00:00:00","2025-02-18 03:00:00","Hardware Failure",11314.00
220,27,"2025-09-03 00:00:00","2025-09-03 06:00:00","Power Issue",20572.00
221,3,"2025-09-06 00:00:00","2025-09-06 08:00:00","Power Issue",24626.00
222,97,"2024-01-05 00:00:00","2024-01-05 06:00:00","Power Issue",10261.00
223,40,"2024-02-16 00:00:00","2024-02-16 05:00:00","Power Issue",29558.00
224,20,"2024-08-31 00:00:00","2024-08-31 02:00:00","Software Error",18092.00
225,14,"2025-03-15 00:00:00","2025-03-15 03:00:00","Hardware Failure",19065.00
226,29,"2025-02-17 00:00:00","2025-02-17 03:00:00","Hardware Failure",5205.00
227,43,"2024-02-20 00:00:00","2024-02-20 02:00:00","Power Issue",8451.00
228,7,"2025-01-08 00:00:00","2025-01-08 06:00:00","Software Error",10881.00
229,46,"2025-05-29 00:00:00","2025-05-29 05:00:00","Software Error",22704.00
230,119,"2024-09-30 00:00:00","2024-09-30 04:00:00","Hardware Failure",13465.00
231,71,"2025-01-12 00:00:00","2025-01-12 04:00:00","Power Issue",19619.00
232,37,"2024-06-05 00:00:00","2024-06-05 02:00:00","Power Issue",24453.00
233,70,"2024-10-08 00:00:00","2024-10-08 04:00:00","Power Issue",28009.00
234,45,"2025-05-03 00:00:00","2025-05-03 08:00:00","Power Issue",15445.00
235,4,"2025-03-19 00:00:00","2025-03-19 08:00:00","Hardware Failure",25026.00
236,53,"2024-05-27 00:00:00","2024-05-27 03:00:00","Power Issue",15552.00
237,25,"2024-07-11 00:00:00","2024-07-11 04:00:00","Software Error",27878.00
238,42,"2025-07-05 00:00:00","2025-07-05 07:00:00","Hardware Failure",28632.00
239,110,"2024-12-12 00:00:00","2024-12-12 06:00:00","Hardware Failure",5686.00
240,83,"2025-10-10 00:00:00","2025-10-10 07:00:00","Software Error",24117.00
241,23,"2025-04-30 00:00:00","2025-04-30 04:00:00","Hardware Failure",24707.00
242,111,"2025-02-27 00:00:00","2025-02-27 06:00:00","Software Error",24293.00
243,35,"2024-12-08 00:00:00","2024-12-08 03:00:00","Software Error",23616.00
244,28,"2025-01-13 00:00:00","2025-01-13 07:00:00","Hardware Failure",28103.00
245,54,"2025-01-06 00:00:00","2025-01-06 03:00:00","Hardware Failure",20695.00
246,94,"2025-08-04 00:00:00","2025-08-04 08:00:00","Hardware Failure",15111.00
247,102,"2025-02-04 00:00:00","2025-02-04 07:00:00","Hardware Failure",20367.00
248,45,"2024-05-07 00:00:00","2024-05-07 08:00:00","Hardware Failure",8386.00
249,48,"2024-08-19 00:00:00","2024-08-19 05:00:00","Power Issue",8462.00
250,35,"2025-08-25 00:00:00","2025-08-25 02:00:00","Hardware Failure",11012.00
251,27,"2024-10-27 00:00:00","2024-10-27 07:00:00","Hardware Failure",22027.00
252,13,"2025-04-25 00:00:00","2025-04-25 01:00:00","Hardware Failure",25139.00
253,85,"2024-12-15 00:00:00","2024-12-15 06:00:00","Software Error",8139.00
254,39,"2024-07-01 00:00:00","2024-07-01 01:00:00","Power Issue",22395.00
255,50,"2025-03-12 00:00:00","2025-03-12 04:00:00","Software Error",16666.00
256,98,"2024-05-30 00:00:00","2024-05-30 03:00:00","Hardware Failure",17057.00
257,62,"2025-03-18 00:00:00","2025-03-18 03:00:00","Power Issue",10301.00
258,17,"2025-12-07 00:00:00","2025-12-07 03:00:00","Power Issue",24722.00
259,91,"2025-08-18 00:00:00","2025-08-18 05:00:00","Hardware Failure",14466.00
260,87,"2024-12-29 00:00:00","2024-12-29 08:00:00","Hardware Failure",28812.00
261,66,"2024-01-06 00:00:00","2024-01-06 03:00:00","Software Error",20973.00
262,49,"2025-10-24 00:00:00","2025-10-24 03:00:00","Hardware Failure",29306.00
263,62,"2024-05-17 00:00:00","2024-05-17 02:00:00","Power Issue",23013.00
264,93,"2024-07-12 00:00:00","2024-07-12 05:00:00","Hardware Failure",23179.00
265,13,"2025-03-02 00:00:00","2025-03-02 02:00:00","Power Issue",22458.00
266,47,"2024-05-30 00:00:00","2024-05-30 08:00:00","Power Issue",20085.00
267,112,"2024-07-18 00:00:00","2024-07-18 08:00:00","Power Issue",29406.00
268,90,"2024-08-18 00:00:00","2024-08-18 03:00:00","Hardware Failure",10547.00
269,114,"2024-12-02 00:00:00","2024-12-02 08:00:00","Software Error",22288.00
270,114,"2025-02-20 00:00:00","2025-02-20 06:00:00","Hardware Failure",27112.00
271,36,"2024-08-14 00:00:00","2024-08-14 03:00:00","Hardware Failure",15808.00
272,71,"2024-05-15 00:00:00","2024-05-15 06:00:00","Power Issue",19759.00
273,76,"2025-01-17 00:00:00","2025-01-17 08:00:00","Software Error",16023.00
274,58,"2025-12-23 00:00:00","2025-12-23 02:00:00","Hardware Failure",6532.00
275,89,"2024-04-20 00:00:00","2024-04-20 08:00:00","Software Error",8684.00
276,7,"2025-01-07 00:00:00","2025-01-07 07:00:00","Power Issue",27572.00
277,92,"2024-11-22 00:00:00","2024-11-22 07:00:00","Hardware Failure",25113.00
278,47,"2024-07-23 00:00:00","2024-07-23 07:00:00","Hardware Failure",12428.00
279,25,"2024-03-29 00:00:00","2024-03-29 01:00:00","Software Error",25905.00
280,111,"2025-12-04 00:00:00","2025-12-04 07:00:00","Hardware Failure",21603.00
281,112,"2024-12-23 00:00:00","2024-12-23 05:00:00","Hardware Failure",8578.00
282,34,"2024-09-07 00:00:00","2024-09-07 08:00:00","Hardware Failure",28193.00
283,114,"2025-03-14 00:00:00","2025-03-14 01:00:00","Power Issue",11418.00
284,19,"2024-05-27 00:00:00","2024-05-27 07:00:00","Software Error",9671.00
285,52,"2024-08-22 00:00:00","2024-08-22 03:00:00","Software Error",6920.00
286,88,"2024-07-28 00:00:00","2024-07-28 02:00:00","Hardware Failure",8101.00
287,99,"2024-10-10 00:00:00","2024-10-10 05:00:00","Hardware Failure",20256.00
288,60,"2025-01-22 00:00:00","2025-01-22 06:00:00","Power Issue",5109.00
289,96,"2025-02-16 00:00:00","2025-02-16 08:00:00","Power Issue",29686.00
290,95,"2024-07-06 00:00:00","2024-07-06 06:00:00","Hardware Failure",13291.00
291,10,"2025-03-09 00:00:00","2025-03-09 01:00:00","Hardware Failure",18304.00
292,101,"2025-09-18 00:00:00","2025-09-18 02:00:00","Hardware Failure",11405.00
293,13,"2025-11-21 00:00:00","2025-11-21 02:00:00","Software Error",8420.00
294,55,"2025-06-23 00:00:00","2025-06-23 02:00:00","Power Issue",24491.00
295,15,"2024-03-30 00:00:00","2024-03-30 01:00:00","Hardware Failure",7589.00
296,90,"2025-07-04 00:00:00","2025-07-04 06:00:00","Hardware Failure",8740.00
297,10,"2025-12-07 00:00:00","2025-12-07 06:00:00","Software Error",7989.00
298,52,"2025-01-16 00:00:00","2025-01-16 07:00:00","Software Error",14161.00
299,95,"2025-06-17 00:00:00","2025-06-17 05:00:00","Power Issue",15712.00
300,86,"2024-05-27 00:00:00","2024-05-27 05:00:00","Software Error",5127.00
301,17,"2025-05-13 00:00:00","2025-05-13 04:00:00","Hardware Failure",13340.00
302,119,"2024-05-31 00:00:00","2024-05-31 05:00:00","Hardware Failure",23749.00
303,76,"2024-04-10 00:00:00","2024-04-10 06:00:00","Power Issue",11282.00
304,40,"2025-11-15 00:00:00","2025-11-15 03:00:00","Hardware Failure",7662.00
305,62,"2024-05-01 00:00:00","2024-05-01 07:00:00","Hardware Failure",8717.00
306,35,"2024-10-05 00:00:00","2024-10-05 06:00:00","Power Issue",24340.00
307,47,"2024-02-25 00:00:00","2024-02-25 02:00:00","Power Issue",24810.00
308,15,"2025-11-20 00:00:00","2025-11-20 02:00:00","Hardware Failure",8666.00
309,45,"2024-12-24 00:00:00","2024-12-24 05:00:00","Software Error",21307.00
310,36,"2025-01-22 00:00:00","2025-01-22 02:00:00","Software Error",23169.00
311,29,"2025-02-24 00:00:00","2025-02-24 02:00:00","Software Error",21121.00
312,57,"2025-04-18 00:00:00","2025-04-18 05:00:00","Software Error",10448.00
313,112,"2024-07-22 00:00:00","2024-07-22 01:00:00","Hardware Failure",9767.00
314,77,"2025-12-30 00:00:00","2025-12-30 01:00:00","Power Issue",18319.00
315,120,"2024-11-15 00:00:00","2024-11-15 02:00:00","Hardware Failure",10112.00
316,93,"2025-10-20 00:00:00","2025-10-20 05:00:00","Software Error",27215.00
317,3,"2025-07-23 00:00:00","2025-07-23 07:00:00","Power Issue",5358.00
318,12,"2024-05-16 00:00:00","2024-05-16 08:00:00","Hardware Failure",24090.00
319,113,"2024-02-10 00:00:00","2024-02-10 01:00:00","Hardware Failure",8306.00
320,88,"2024-12-25 00:00:00","2024-12-25 04:00:00","Power Issue",17389.00
321,34,"2025-06-22 00:00:00","2025-06-22 06:00:00","Power Issue",21377.00
322,102,"2025-09-22 00:00:00","2025-09-22 02:00:00","Hardware Failure",29975.00
323,89,"2025-11-11 00:00:00","2025-11-11 06:00:00","Hardware Failure",23035.00
324,34,"2024-03-14 00:00:00","2024-03-14 08:00:00","Software Error",21545.00
325,89,"2025-09-25 00:00:00","2025-09-25 04:00:00","Power Issue",16679.00
326,53,"2024-05-25 00:00:00","2024-05-25 06:00:00","Software Error",26203.00
327,17,"2024-03-17 00:00:00","2024-03-17 03:00:00","Hardware Failure",21137.00
328,77,"2025-03-24 00:00:00","2025-03-24 04:00:00","Power Issue",28222.00
