session_id,station_id,customer_id,start_time,end_time,energy_consumed_kwh,charging_duration_minutes,price_per_kwh,total_revenue,payment_mode,charger_id
21,20,3285,"2024-06-13 21:00:00","2024-06-13 21:20:00",38.80,20,54.00,4190.40,Wallet,155
22,18,7796,"2025-10-23 13:00:00","2025-10-23 14:03:00",29.84,63,75.00,4476.00,Card,147
23,85,22294,"2024-08-03 13:00:00","2024-08-03 13:43:00",59.53,43,66.00,7857.96,UPI,670
24,10,21605,"2025-09-15 11:00:00","2025-09-15 11:40:00",54.09,40,75.00,8113.50,UPI,75
25,119,7369,"2025-08-11 19:00:00","2025-08-11 20:20:00",47.48,80,54.00,5127.84,UPI,939
26,2,17339,"2024-11-30 12:00:00","2024-11-30 13:23:00",36.87,83,54.00,3981.96,UPI,9
27,76,8119,"2025-06-25 10:00:00","2025-06-25 10:22:00",33.10,22,66.00,4369.20,Wallet,597
28,25,2515,"2025-04-13 21:00:00","2025-04-13 22:02:00",19.24,62,60.00,2308.80,UPI,207
29,68,7245,"2024-10-09 20:00:00","2024-10-09 20:52:00",25.29,52,60.00,3034.80,UPI,534
30,47,14225,"2025-10-02 10:00:00","2025-10-02 10:30:00",48.70,30,75.00,7305.00,Card,382
31,88,20910,"2024-09-16 15:00:00","2024-09-16 16:03:00",32.69,63,54.00,3530.52,Card,693
32,87,16934,"2024-09-20 11:00:00","2024-09-20 11:29:00",54.11,29,75.00,8116.50,Card,684
33,67,15454,"2024-08-20 06:00:00","2024-08-20 06:26:00",17.40,26,66.00,2296.80,Card,524
34,22,12453,"2024-12-09 21:00:00","2024-12-09 22:07:00",35.42,67,60.00,4250.40,Card,174
35,78,24612,"2025-11-27 10:00:00","2025-11-27 11:10:00",42.35,70,75.00,6352.50,Wallet,611
36,10,570,"2024-01-09 19:00:00","2024-01-09 19:49:00",35.84,49,54.00,3870.72,Card,75
37,103,24884,"2025-11-27 11:00:00","2025-11-27 11:32:00",54.46,32,60.00,6535.20,Unknown,819
38,89,17779,"2024-12-18 13:00:00","2024-12-18 14:02:00",59.48,62,60.00,7137.60,UPI,706
39,15,24873,"2025-06-13 09:00:00","2025-06-13 09:23:00",15.79,23,75.00,2368.50,Card,118
40,18,2592,"2025-09-24 14:00:00","2025-09-24 14:49:00",16.50,49,60.00,1980.00,Card,141
41,60,18799,"2024-10-25 13:00:00","2024-10-25 14:01:00",16.52,61,66.00,2180.64,Card,468
42,15,23904,"2024-01-05 21:00:00","2024-01-05 22:07:00",44.06,67,75.00,6609.00,Card,122
43,86,18785,"2025-12-08 19:00:00","2025-12-08 20:27:00",28.63,87,75.00,4294.50,Card,678
44,104,12017,"2024-01-22 20:00:00","2024-01-22 20:27:00",46.67,27,60.00,5600.40,Card,827
45,90,19726,"2024-06-14 20:00:00","2024-06-14 21:14:00",30.27,74,60.00,3632.40,UPI,714
46,11,14648,"2025-04-20 21:00:00","2025-04-20 21:24:00",41.38,24,75.00,6207.00,UPI,89
47,101,19029,"2024-09-04 07:00:00","2024-09-04 08:14:00",48.49,74,75.00,7273.50,Card,807
48,14,3679,"2025-03-11 11:00:00","2025-03-11 11:24:00",37.41,24,60.00,4489.20,Card,115
49,110,6410,"2025-08-17 09:00:00","2025-08-17 10:02:00",36.98,62,75.00,5547.00,UPI,865
50,40,3749,"2024-07-11 06:00:00","2024-07-11 07:05:00",14.41,65,75.00,2161.50,Card,323
51,3,8095,"2025-01-06 06:00:00","2025-01-06 07:06:00",30.54,66,54.00,3298.32,Card,19
52,12,1364,"2025-06-13 12:00:00","2025-06-13 13:25:00",37.29,85,75.00,5593.50,Card,90
53,86,5385,"2024-01-19 06:00:00","2024-01-19 06:33:00",33.10,33,60.00,3972.00,Wallet,676
54,19,361,"2025-07-13 13:00:00","2025-07-13 13:38:00",55.04,38,54.00,5944.32,Card,154
55,41,8966,"2024-12-25 18:00:00","2024-12-25 18:58:00",55.33,58,60.00,6639.60,Card,329
56,99,7730,"2025-06-26 08:00:00","2025-06-26 09:17:00",51.10,77,60.00,6132.00,Wallet,787
57,52,21740,"2024-04-14 10:00:00","2024-04-14 10:57:00",28.76,57,60.00,3451.20,UPI,424
58,83,14354,"2024-06-28 19:00:00","2024-06-28 19:32:00",45.86,32,75.00,6879.00,UPI,658
59,32,6375,"2025-02-10 19:00:00","2025-02-10 19:25:00",29.76,25,66.00,3928.32,Wallet,265
60,99,5449,"2025-08-22 14:00:00","2025-08-22 14:52:00",21.63,52,66.00,2855.16,Card,786
61,79,23582,"2025-10-31 06:00:00","2025-10-31 07:01:00",27.15,61,66.00,3583.80,UPI,612
62,29,11686,"2024-06-13 12:00:00","2024-06-13 13:17:00",13.55,77,54.00,1463.40,UPI,240
63,48,23947,"2025-04-20 16:00:00","2025-04-20 16:49:00",26.59,49,66.00,3509.88,Card,384
64,84,23559,"2025-01-08 10:00:00","2025-01-08 11:30:00",33.04,90,54.00,3568.32,Card,664
65,90,15465,"2025-10-02 09:00:00","2025-10-02 10:00:00",57.77,60,66.00,7625.64,UPI,712
66,49,6426,"2025-01-09 12:00:00","2025-01-09 12:31:00",25.67,31,60.00,3080.40,Card,394
67,49,10447,"2024-12-13 10:00:00","2024-12-13 10:20:00",55.12,20,60.00,6614.40,Card,395
68,52,11775,"2024-03-30 10:00:00","2024-03-30 11:25:00",21.44,85,54.00,2315.52,Wallet,420
69,40,5139,"2024-08-28 09:00:00","2024-08-28 09:46:00",19.55,46,60.00,2346.00,Card,324
70,81,3337,"2024-12-08 19:00:00","2024-12-08 19:23:00",35.95,23,54.00,3882.60,UPI,639
71,15,18289,"2024-10-26 16:00:00","2024-10-26 16:59:00",43.63,59,75.00,6544.50,UPI,124
72,55,16663,"2024-10-08 13:00:00","2024-10-08 14:19:00",12.22,79,66.00,1613.04,UPI,441
73,87,18648,"2025-02-16 10:00:00","2025-02-16 10:47:00",21.05,47,60.00,2526.00,Wallet,687
74,72,16539,"2025-02-23 09:00:00","2025-02-23 10:24:00",32.78,84,54.00,3540.24,Wallet,565
75,113,4671,"2025-02-07 12:00:00","2025-02-07 13:05:00",26.55,65,54.00,2867.40,Unknown,890
76,57,20987,"2024-01-06 14:00:00","2024-01-06 14:44:00",45.63,44,54.00,4928.04,UPI,453
77,33,1823,"2024-02-02 10:00:00","2024-02-02 10:29:00",35.56,29,66.00,4693.92,Wallet,273
78,75,8653,"2024-04-09 15:00:00","2024-04-09 15:39:00",18.02,39,54.00,1946.16,UPI,591
79,110,19727,"2025-03-24 09:00:00","2025-03-24 09:22:00",54.72,22,54.00,5909.76,UPI,865
80,102,5000,"2024-11-22 15:00:00","2024-11-22 15:26:00",24.65,26,60.00,2958.00,Card,814
81,102,5691,"2025-07-11 07:00:00","2025-07-11 08:13:00",46.56,73,66.00,6145.92,UPI,810
82,40,21885,"2025-12-05 19:00:00","2025-12-05 19:44:00",49.00,44,60.00,5880.00,UPI,322
83,3,16808,"2025-11-24 07:00:00","2025-11-24 07:43:00",58.16,43,75.00,8724.00,UPI,16
84,76,6231,"2025-04-18 07:00:00","2025-04-18 07:23:00",34.93,23,75.00,5239.50,Card,595
85,73,302,"2024-12-06 12:00:00","2024-12-06 13:28:00",40.79,88,54.00,4405.32,UPI,567
86,32,1307,"2025-03-10 08:00:00","2025-03-10 08:30:00",26.74,30,66.00,3529.68,Wallet,263
87,109,12460,"2025-02-16 15:00:00","2025-02-16 16:16:00",43.91,76,66.00,5796.12,Wallet,862
88,87,2364,"2025-02-09 09:00:00","2025-02-09 09:44:00",33.17,44,75.00,4975.50,Unknown,688
89,7,7417,"2025-05-06 18:00:00","2025-05-06 18:53:00",31.88,53,75.00,4782.00,Card,56
90,5,22175,"2025-10-05 13:00:00","2025-10-05 14:14:00",52.77,74,54.00,5699.16,Wallet,30
91,34,23982,"2024-02-06 18:00:00","2024-02-06 18:32:00",12.51,32,66.00,1651.32,Wallet,281
92,90,1066,"2025-06-29 16:00:00","2025-06-29 16:54:00",54.10,54,75.00,8115.00,UPI,717
93,66,13151,"2024-04-12 08:00:00","2024-04-12 09:24:00",52.60,84,66.00,6943.20,Card,522
94,1,15974,"2024-07-28 10:00:00","2024-07-28 10:23:00",35.32,23,75.00,5298.00,Wallet,2
95,23,17896,"2025-02-19 08:00:00","2025-02-19 09:02:00",34.51,62,75.00,5176.50,Card,189
96,79,14519,"2024-08-22 13:00:00","2024-08-22 13:34:00",28.09,34,66.00,3707.88,Card,613
97,68,9541,"2024-10-13 18:00:00","2024-10-13 18:49:00",59.71,49,60.00,7165.20,Wallet,528
98,115,17180,"2025-03-07 12:00:00","2025-03-07 12:23:00",15.56,23,54.00,1680.48,Wallet,903
99,38,11988,"2024-11-15 16:00:00","2024-11-15 16:20:00",39.51,20,60.00,4741.20,UPI,315
100,72,18516,"2024-10-01 13:00:00","2024-10-01 13:34:00",44.08,34,60.00,5289.60,Card,562
101,35,7855,"2024-08-23 09:00:00","2024-08-23 09:49:00",56.72,49,54.00,6125.76,Card,284
102,23,20906,"2025-08-30 15:00:00","2025-08-30 16:17:00",49.01,77,60.00,5881.20,UPI,190
103,74,6052,"2024-01-20 06:00:00","2024-01-20 07:08:00",42.19,68,75.00,6328.50,Wallet,581
104,87,8417,"2024-06-10 16:00:00","2024-06-10 16:41:00",15.84,41,66.00,2090.88,UPI,686
105,113,6806,"2024-07-30 13:00:00","2024-07-30 13:31:00",28.69,31,54.00,3098.52,UPI,887
106,58,3954,"2025-05-09 12:00:00","2025-05-09 12:55:00",16.94,55,60.00,2032.80,Card,459
107,56,24866,"2025-08-15 20:00:00","2025-08-15 21:21:00",54.06,81,54.00,5838.48,Wallet,445
108,79,4579,"2025-11-17 14:00:00","2025-11-17 15:06:00",47.48,66,60.00,5697.60,UPI,618
109,43,21958,"2025-08-09 21:00:00","2025-08-09 22:27:00",47.88,87,66.00,6320.16,Wallet,344
110,108,23013,"2025-01-10 16:00:00","2025-01-10 16:58:00",42.61,58,60.00,5113.20,Card,851
111,93,13470,"2024-08-12 06:00:00","2024-08-12 07:04:00",35.35,64,54.00,3817.80,UPI,738
112,93,20891,"2025-10-06 06:00:00","2025-10-06 07:24:00",17.50,84,54.00,1890.00,Wallet,739
113,104,11677,"2024-08-21 11:00:00","2024-08-21 12:26:00",26.48,86,54.00,2859.84,Wallet,825
114,42,14051,"2025-04-14 11:00:00","2025-04-14 12:15:00",16.85,75,75.00,2527.50,Wallet,331
115,113,13188,"2025-06-13 21:00:00","2025-06-13 22:30:00",46.25,90,75.00,6937.50,UPI,885
116,44,18558,"2025-09-10 08:00:00","2025-09-10 08:37:00",18.01,37,75.00,2701.50,Card,357
117,111,8319,"2024-05-21 22:00:00","2024-05-21 23:30:00",45.11,90,60.00,5413.20,Card,874
118,26,2348,"2024-12-21 17:00:00","2024-12-21 17:47:00",44.61,47,60.00,5353.20,UPI,213
119,80,10569,"2025-07-23 16:00:00","2025-07-23 17:04:00",32.97,64,75.00,4945.50,Card,631
120,50,17455,"2025-07-12 06:00:00","2025-07-12 06:34:00",16.76,34,75.00,2514.00,Unknown,404
121,105,2690,"2025-09-04 11:00:00","2025-09-04 12:14:00",25.74,74,66.00,3397.68,Card,831
122,45,14373,"2025-10-08 09:00:00","2025-10-08 10:10:00",26.00,70,66.00,3432.00,Wallet,360
123,98,15308,"2025-07-25 08:00:00","2025-07-25 09:12:00",45.02,72,54.00,4862.16,UPI,768
124,112,8676,"2024-07-18 09:00:00","2024-07-18 09:52:00",15.69,52,54.00,1694.52,UPI,880
125,43,6156,"2024-09-09 17:00:00","2024-09-09 17:58:00",51.45,58,54.00,5556.60,Card,343
126,6,1856,"2024-07-04 19:00:00","2024-07-04 20:25:00",48.05,85,60.00,5766.00,UPI,41
127,111,11299,"2024-12-13 11:00:00","2024-12-13 11:26:00",19.32,26,60.00,2318.40,Card,872
128,38,9347,"2024-10-18 08:00:00","2024-10-18 09:27:00",45.96,87,54.00,4963.68,Card,311
129,113,24235,"2025-08-29 16:00:00","2025-08-29 16:25:00",43.43,25,75.00,6514.50,UPI,892
130,91,23486,"2024-11-03 08:00:00","2024-11-03 09:07:00",47.41,67,54.00,5120.28,Card,718
131,54,3198,"2024-12-25 20:00:00","2024-12-25 20:36:00",19.45,36,54.00,2100.60,Wallet,433
132,58,6710,"2024-05-31 22:00:00","2024-05-31 23:28:00",17.88,88,66.00,2360.16,Card,461
133,80,12519,"2025-04-23 07:00:00","2025-04-23 07:44:00",21.82,44,66.00,2880.24,Card,623
134,15,123,"2024-03-12 19:00:00","2024-03-12 20:24:00",28.29,84,75.00,4243.50,Card,124
135,104,7429,"2025-05-21 22:00:00","2025-05-21 22:58:00",49.68,58,54.00,5365.44,UPI,828
136,87,5853,"2024-02-01 17:00:00","2024-02-01 18:02:00",46.90,62,60.00,5628.00,Card,683
137,90,8622,"2024-01-13 22:00:00","2024-01-13 23:06:00",56.27,66,54.00,6077.16,Wallet,712
138,18,19212,"2025-01-21 20:00:00","2025-01-21 20:38:00",12.93,38,75.00,1939.50,Card,144
139,50,14973,"2025-07-28 10:00:00","2025-07-28 10:58:00",10.58,58,66.00,1396.56,Card,409
140,49,13644,"2025-10-01 11:00:00","2025-10-01 12:01:00",44.96,61,75.00,6744.00,Wallet,394
141,17,1927,"2024-09-13 19:00:00","2024-09-13 20:01:00",23.96,61,66.00,3162.72,UPI,131
142,97,2382,"2024-12-05 10:00:00","2024-12-05 11:12:00",26.70,72,60.00,3204.00,UPI,767
143,8,8739,"2024-10-22 06:00:00","2024-10-22 07:20:00",37.34,80,66.00,4928.88,UPI,66
144,61,3069,"2024-04-24 07:00:00","2024-04-24 07:23:00",15.12,23,60.00,1814.40,Card,479
145,30,8538,"2025-09-19 08:00:00","2025-09-19 08:39:00",42.13,39,54.00,4550.04,UPI,246
146,94,14707,"2025-07-15 07:00:00","2025-07-15 08:11:00",26.26,71,60.00,3151.20,Card,745
147,29,19565,"2024-03-13 16:00:00","2024-03-13 17:24:00",41.64,84,75.00,6246.00,UPI,234
148,40,20448,"2025-01-05 08:00:00","2025-01-05 08:50:00",51.70,50,60.00,6204.00,UPI,325
149,16,18290,"2024-03-30 13:00:00","2024-03-30 14:18:00",18.56,78,54.00,2004.48,Wallet,126
150,32,24332,"2024-10-18 13:00:00","2024-10-18 13:24:00",56.54,24,75.00,8481.00,UPI,262
151,62,16289,"2024-03-03 09:00:00","2024-03-03 09:39:00",36.53,39,75.00,5479.50,Wallet,484
152,81,2052,"2025-05-13 06:00:00","2025-05-13 07:16:00",56.15,76,66.00,7411.80,Card,645
153,99,17530,"2024-05-11 22:00:00","2024-05-11 22:42:00",20.39,42,66.00,2691.48,Wallet,786
154,31,17450,"2024-03-30 15:00:00","2024-03-30 15:55:00",40.23,55,75.00,6034.50,UPI,254
155,88,2670,"2025-11-29 07:00:00","2025-11-29 07:54:00",30.19,54,54.00,3260.52,Wallet,701
156,2,22184,"2025-11-05 21:00:00","2025-11-05 21:55:00",48.71,55,54.00,5260.68,UPI,11
157,82,8286,"2025-02-27 17:00:00","2025-02-27 18:07:00",40.30,67,60.00,4836.00,Card,647
158,73,2347,"2024-12-23 21:00:00","2024-12-23 22:09:00",34.73,69,66.00,4584.36,UPI,567
159,78,3090,"2025-03-23 07:00:00","2025-03-23 07:32:00",55.65,32,60.00,6678.00,UPI,608
160,17,24218,"2024-04-02 06:00:00","2024-04-02 07:22:00",28.86,82,54.00,3116.88,UPI,134
161,22,22679,"2024-10-16 20:00:00","2024-10-16 20:37:00",21.00,37,75.00,3150.00,UPI,177
162,102,7508,"2024-05-30 10:00:00","2024-05-30 10:58:00",40.41,58,75.00,6061.50,Wallet,813
163,98,18343,"2024-11-13 22:00:00","2024-11-13 22:53:00",41.20,53,54.00,4449.60,Card,772
164,73,166,"2025-05-31 19:00:00","2025-05-31 19:48:00",31.95,48,66.00,4217.40,UPI,570
165,69,8573,"2025-11-24 17:00:00","2025-11-24 17:20:00",34.33,20,54.00,3707.64,Card,541
166,68,11514,"2025-09-17 20:00:00","2025-09-17 21:16:00",57.98,76,60.00,6957.60,UPI,533
167,88,14124,"2025-03-02 22:00:00","2025-03-02 23:14:00",46.63,74,75.00,6994.50,Wallet,695
168,77,5954,"2025-03-01 08:00:00","2025-03-01 09:16:00",15.53,76,54.00,1677.24,Card,605
169,110,662,"2025-04-23 17:00:00","2025-04-23 17:29:00",20.61,29,54.00,2225.88,Card,868
170,89,10341,"2024-06-19 14:00:00","2024-06-19 15:27:00",58.78,87,60.00,7053.60,UPI,706
171,97,3447,"2025-12-30 19:00:00","2025-12-30 20:21:00",46.32,81,54.00,5002.56,UPI,766
172,31,13721,"2025-11-26 21:00:00","2025-11-26 22:19:00",55.75,79,66.00,7359.00,Card,259
173,68,15718,"2025-03-17 16:00:00","2025-03-17 16:55:00",25.19,55,75.00,3778.50,Wallet,532
174,105,3480,"2024-08-02 16:00:00","2024-08-02 16:43:00",47.09,43,60.00,5650.80,Wallet,831
175,58,18270,"2025-03-10 18:00:00","2025-03-10 18:55:00",45.70,55,66.00,6032.40,UPI,459
176,60,10955,"2024-03-29 07:00:00","2024-03-29 08:12:00",24.73,72,66.00,3264.36,Card,472
177,92,12999,"2024-02-25 07:00:00","2024-02-25 07:39:00",37.54,39,66.00,4955.28,UPI,732
178,75,11792,"2025-01-10 18:00:00","2025-01-10 19:08:00",41.37,68,54.00,4467.96,UPI,591
179,9,10405,"2025-10-07 15:00:00","2025-10-07 16:18:00",34.06,78,60.00,4087.20,Wallet,73
180,102,15826,"2025-08-30 15:00:00","2025-08-30 16:25:00",51.36,85,75.00,7704.00,Wallet,814
181,50,7360,"2024-05-01 11:00:00","2024-05-01 12:15:00",51.64,75,66.00,6816.48,UPI,405
182,37,5911,"2025-12-07 06:00:00","2025-12-07 06:20:00",52.53,20,54.00,5673.24,UPI,303
183,103,14222,"2025-04-28 19:00:00","2025-04-28 20:21:00",50.17,81,60.00,6020.40,UPI,817
184,48,12736,"2024-03-28 20:00:00","2024-03-28 20:28:00",34.40,28,60.00,4128.00,Card,384
185,36,8442,"2024-12-11 11:00:00","2024-12-11 11:51:00",29.07,51,75.00,4360.50,Wallet,299
186,78,9748,"2025-05-14 17:00:00","2025-05-14 17:30:00",51.57,30,60.00,6188.40,Card,606
187,9,19738,"2025-12-31 11:00:00","2025-12-31 12:03:00",34.51,63,66.00,4555.32,Card,73
188,90,17072,"2025-03-01 11:00:00","2025-03-01 11:51:00",22.32,51,54.00,2410.56,UPI,716
189,107,12545,"2024-04-25 14:00:00","2024-04-25 14:42:00",35.37,42,66.00,4668.84,UPI,844
190,25,6679,"2025-01-03 09:00:00","2025-01-03 09:47:00",17.09,47,75.00,2563.50,UPI,206
191,80,712,"2024-04-16 22:00:00","2024-04-16 22:52:00",44.58,52,75.00,6687.00,Card,626
192,9,17166,"2025-11-26 16:00:00","2025-11-26 16:22:00",26.80,22,66.00,3537.60,Card,71
193,40,19316,"2025-06-09 21:00:00","2025-06-09 21:59:00",23.03,59,60.00,2763.60,UPI,322
194,4,8488,"2024-06-14 07:00:00","2024-06-14 08:24:00",57.83,84,54.00,6245.64,UPI,26
195,94,12339,"2025-08-29 19:00:00","2025-08-29 19:55:00",48.84,55,75.00,7326.00,Card,742
196,24,15612,"2024-11-08 15:00:00","2024-11-08 15:29:00",49.35,29,60.00,5922.00,Card,196
197,99,23441,"2024-10-29 12:00:00","2024-10-29 12:25:00",41.19,25,75.00,6178.50,UPI,786
198,39,16369,"2025-10-06 08:00:00","2025-10-06 09:17:00",51.96,77,66.00,6858.72,Wallet,316
199,14,24266,"2025-01-09 20:00:00","2025-01-09 20:55:00",47.96,55,75.00,7194.00,Card,113
200,59,2720,"2024-06-17 12:00:00","2024-06-17 13:15:00",39.94,75,75.00,5991.00,Wallet,463
201,10,16179,"2025-04-15 18:00:00","2025-04-15 18:29:00",58.06,29,66.00,7663.92,UPI,77
202,115,8347,"2024-06-20 20:00:00","2024-06-20 20:53:00",19.58,53,54.00,2114.64,Wallet,906
203,68,3407,"2025-11-10 18:00:00","2025-11-10 18:29:00",57.17,29,54.00,6174.36,Card,529
204,22,8383,"2024-09-30 20:00:00","2024-09-30 21:30:00",30.07,90,54.00,3247.56,Wallet,175
205,54,2669,"2024-12-24 13:00:00","2024-12-24 13:55:00",36.42,55,75.00,5463.00,Unknown,434
206,107,83,"2025-10-18 11:00:00","2025-10-18 11:52:00",16.14,52,54.00,1743.12,UPI,846
207,93,11735,"2024-05-23 07:00:00","2024-05-23 07:39:00",37.01,39,66.00,4885.32,Wallet,739
208,40,13277,"2025-06-21 09:00:00","2025-06-21 10:18:00",40.56,78,60.00,4867.20,Card,324
209,119,18752,"2025-12-07 13:00:00","2025-12-07 13:29:00",59.89,29,60.00,7186.80,UPI,933
210,37,3054,"2024-02-13 14:00:00","2024-02-13 15:18:00",58.76,78,60.00,7051.20,UPI,302
211,61,4749,"2024-09-15 17:00:00","2024-09-15 18:14:00",58.32,74,54.00,6298.56,Wallet,476
212,54,13141,"2025-04-28 08:00:00","2025-04-28 08:59:00",27.42,59,54.00,2961.36,UPI,434
213,4,14478,"2025-09-25 18:00:00","2025-09-25 18:45:00",59.56,45,54.00,6432.48,Wallet,22
214,113,3168,"2025-07-21 18:00:00","2025-07-21 18:52:00",32.77,52,75.00,4915.50,Card,891
215,32,24289,"2025-09-06 19:00:00","2025-09-06 20:12:00",52.59,72,54.00,5679.72,UPI,265
216,74,22063,"2025-06-10 18:00:00","2025-06-10 19:17:00",20.82,77,54.00,2248.56,UPI,572
217,4,6268,"2024-03-08 13:00:00","2024-03-08 13:45:00",35.29,45,54.00,3811.32,Card,25
218,100,15751,"2025-09-20 06:00:00","2025-09-20 06:42:00",58.30,42,66.00,7695.60,Card,790
219,12,4034,"2024-03-01 08:00:00","2024-03-01 08:47:00",57.35,47,54.00,6193.80,Wallet,95
220,45,5562,"2024-11-09 06:00:00","2024-11-09 07:00:00",44.19,60,75.00,6628.50,Card,363
221,73,18658,"2025-11-10 16:00:00","2025-11-10 17:07:00",49.89,67,54.00,5388.12,Card,569
222,42,13706,"2024-07-29 17:00:00","2024-07-29 17:57:00",18.82,57,75.00,2823.00,Wallet,335
223,83,17014,"2024-01-10 14:00:00","2024-01-10 14:31:00",46.08,31,66.00,6082.56,Card,657
224,29,11186,"2024-04-17 17:00:00","2024-04-17 17:26:00",40.90,26,60.00,4908.00,Card,238
225,99,21721,"2025-12-05 07:00:00","2025-12-05 08:12:00",14.58,72,60.00,1749.60,UPI,786
226,35,19201,"2025-07-14 08:00:00","2025-07-14 08:50:00",15.66,50,60.00,1879.20,Wallet,286
227,34,16106,"2024-07-09 22:00:00","2024-07-09 23:21:00",15.42,81,60.00,1850.40,Card,281
228,42,5268,"2024-03-11 09:00:00","2024-03-11 09:58:00",46.22,58,54.00,4991.76,UPI,341
229,103,20682,"2024-01-19 21:00:00","2024-01-19 21:44:00",17.09,44,54.00,1845.72,UPI,823
230,49,15750,"2025-11-15 17:00:00","2025-11-15 17:41:00",33.39,41,75.00,5008.50,Card,394
231,52,15184,"2025-04-14 19:00:00","2025-04-14 19:50:00",27.85,50,54.00,3007.80,UPI,426
232,4,1102,"2024-10-23 13:00:00","2024-10-23 13:52:00",37.53,52,54.00,4053.24,Wallet,25
233,51,16348,"2024-05-14 22:00:00","2024-05-14 23:11:00",45.32,71,66.00,5982.24,Wallet,411
234,78,23315,"2024-07-01 12:00:00","2024-07-01 12:30:00",44.24,30,75.00,6636.00,Wallet,608
235,92,14436,"2025-01-28 08:00:00","2025-01-28 08:32:00",35.78,32,66.00,4722.96,Wallet,734
236,108,9999,"2025-10-11 22:00:00","2025-10-11 23:25:00",33.22,85,60.00,3986.40,Card,854
237,70,4335,"2024-04-13 16:00:00","2024-04-13 17:15:00",29.89,75,66.00,3945.48,Card,543
238,38,19643,"2024-07-21 19:00:00","2024-07-21 19:54:00",53.10,54,66.00,7009.20,UPI,311
239,45,8028,"2024-04-26 08:00:00","2024-04-26 09:08:00",26.54,68,54.00,2866.32,UPI,361
240,108,24357,"2024-10-24 22:00:00","2024-10-24 23:16:00",22.97,76,54.00,2480.76,Wallet,852
241,43,5894,"2024-12-07 09:00:00","2024-12-07 09:53:00",47.17,53,75.00,7075.50,UPI,348
242,120,3718,"2024-01-19 09:00:00","2024-01-19 09:47:00",27.99,47,75.00,4198.50,Wallet,942
243,110,13015,"2025-09-01 12:00:00","2025-09-01 12:38:00",52.35,38,75.00,7852.50,Card,865
244,48,8117,"2024-05-16 19:00:00","2024-05-16 20:24:00",26.39,84,66.00,3483.48,UPI,391
245,57,22654,"2024-10-29 15:00:00","2024-10-29 15:25:00",45.10,25,54.00,4870.80,Card,450
246,91,8366,"2024-07-13 18:00:00","2024-07-13 19:14:00",12.26,74,66.00,1618.32,Wallet,718
247,117,20656,"2025-03-15 06:00:00","2025-03-15 06:40:00",29.28,40,66.00,3864.96,Unknown,916
248,52,4128,"2025-03-05 14:00:00","2025-03-05 15:05:00",27.16,65,54.00,2933.28,Wallet,418
249,73,8181,"2025-04-14 08:00:00","2025-04-14 09:24:00",50.83,84,60.00,6099.60,UPI,567
250,77,10895,"2024-09-23 20:00:00","2024-09-23 20:36:00",58.35,36,60.00,7002.00,UPI,604
251,118,15657,"2024-09-20 22:00:00","2024-09-20 23:27:00",33.04,87,54.00,3568.32,Wallet,927
252,13,9954,"2025-09-18 18:00:00","2025-09-18 18:49:00",51.24,49,54.00,5533.92,UPI,104
